series_id,year,period,value,,item_name,area_name
APU012074714     ,2021,M11,3.531,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2021,M12,3.5,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M01,3.475,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M02,3.64,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M03,4.284,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M04,4.22,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M05,4.665,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M06,4.983,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M07,4.706,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M08,4.265,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M09,3.824,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M10,3.739,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M11,3.882,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2022,M12,3.575,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2023,M01,3.523,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU012074714     ,2023,M02,3.527,,"Gasoline, unleaded regular, per gallon/3.785 liters",Middle Atlantic
APU049074714     ,2018,M01,3.031,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M02,3.155,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M03,3.214,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M04,3.374,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M05,3.511,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M06,3.517,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M07,3.468,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M08,3.426,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M09,3.459,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M10,3.59,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M11,3.488,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2018,M12,3.274,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M01,3.114,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M02,3.074,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M03,3.169,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M04,3.617,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M05,3.757,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M06,3.581,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M07,3.484,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M08,3.374,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M09,3.423,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M10,3.735,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M11,3.66,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2019,M12,3.391,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M01,3.288,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M02,3.254,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M03,3.109,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M04,2.673,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M05,2.558,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M06,2.725,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M07,2.859,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M08,2.924,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M09,2.94,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M10,2.903,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M11,2.848,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2020,M12,2.865,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M01,2.96,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M02,3.107,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M03,3.43,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M04,3.553,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M05,3.747,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M06,3.979,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M07,4.096,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M08,4.159,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M09,4.162,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M10,4.222,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M11,4.341,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2021,M12,4.35,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M01,4.377,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M02,4.455,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M03,5.314,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M04,5.39,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M05,5.621,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M06,6.032,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M07,5.711,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M08,5.199,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M09,5.246,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M10,5.753,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M11,5.122,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2022,M12,4.358,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2023,M01,4.256,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
APU049074714     ,2023,M02,4.428,,"Gasoline, unleaded regular, per gallon/3.785 liters",Pacific
